A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
46.19,"Неспециализирано търговско посредничество с разнообразни стоки"
46.2,"ърговия на едро със селскостопански суровини и живи животни"
46.21,"Търговия на едро със зърно семена фуражи и необработен тютюн"
46.22,"Търговия на едро с цветя и растения"
46.23,"Търговия на едро с живи животни"
46.24,"Търговия на едро със сурови и обработени кожи"
46.3,"Търговия на едро с хранителни стоки напитки и тютюневи изделия"
46.31,"Търговия на едро с плодове и зеленчуци"
46.32,"Търговия на едро с месо и месни продукти"
46.33,"Търговия на едро с мляко и млечни продукти яйца хранителни масла и мазнини"
46.34,"Търговия на едро с напитки"
46.35,"Търговия на едро с тютюневи изделия"
46.36,"Търговия на едро със захар захарни и шоколадови изделия"
46.37,"Търговия на едро с кафе чай какао и подправки"
46.38,"Специализирана търговия на едро с други хранителни стоки"
46.39,"Неспециализирана търговия на едро с хранителни стоки напитки и тютюневи изделия"
46.4,"Търговия на едро с нехранителни потребителски стоки"
46.41,"Търговия на едро с текстил и галантерийни стоки"
46.42,"Търговия на едро с облекло и обувки"
46.43,"Търговия на едро с битова електроника и електроуреди"
46.44,"Търговия на едро с порцеланови и стъкларски изделия и почистващи препарати"
46.45,"Търговия на едро с парфюмерийни и козметични стоки"
46.46,"Търговия на едро с фармацевтични стоки медицинска техника и апаратура"
46.47,"Търговия на едро с мебели килими и осветители"
46.48,"Търговия на едро с часовници и бижутерия"
46.49,"Търговия на едро с други нехранителни потребителски стоки"
46.5,"Търговия на едро с компютърна и комуникационна техника"
46.51,"Търговия на едро с компютри периферни устройства за тях и програмни продукти"
46.52,"Търговия на едро с електронни елементи и комуникационна техника"
46.6,"Търговия на едро с други машини и оборудване със стопанско предназначение и части за тях"
46.61,"Търговия на едро с машини и обрудване за селското и горското стопанство и части за тях"
46.62,"Търговия на едро с обработващи машини и части за тях"
46.63,"Търговия на едро с машини и оборудване за добива и строителството и части за тях"
46.64,"Търговия на едро с машини за производство на текстил облекло и кожени изделия и части за тях"
46.65,"Търговия на едро с офис мебели"
46.66,"Търговия на едро с друга офис техника без компютри"
46.69,"Търговия на едро с други машини и оборудване със стопанско предназначение некласифицирана другаде и части з"
46.7,"Търговия на едро с неселскостопански междинни продукти отпадъци и скрап"
46.71,"Търговия на едро с твърди течни и газообразни горива и подобни продукти"
46.72,"Търговия на едро с метали и руди"
46.73,"Търговия на едро с дървен материал материали за строителството и санитарно оборудване"
46.74,"Търговия на едро с железария и арматурни изделия"
46.75,"Търговия на едро с химични вещества и продукти"
46.76,"Специализирана търговия на едро с други междинни продукти"
46.77,"Търговия на едро с отпадъци и скрап"
46.9,"Неспециализирана търговия на едро"
